f_room_type,f_neighbourhood_cleansed,f_parking_free_vs_paid,f_parking_type,f_parking_on_vs_off_premises,euro_price_day,p_host_response_rate,n_accommodates,n_bedrooms,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_balcony,d_bathtub,d_bedlinens,d_breakfast,d_changingtable,d_cleaningproducts,d_complimentarybreakfastbuffet,d_conditioner,d_dedicatedworkspace,d_dedicatedworkspacetable,d_diningareafor12people,d_dryer,d_espressomachine,d_gasstove,d_hairdryer,d_hangers,d_hottub,d_inductionstove,d_ironingboard,d_laundromatnearby,d_luggagestorage,d_nespressomachine,d_piano,d_pool,d_portableairconditioning,d_roomdarkeningshades,d_samsungrefrigerator,d_sunloungers,d_valetparkingu2014u20ac30day,d_wifi,d_windowacunit,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,id,neighbourhood_cleansed,room_type,property_type,parking_free_vs_paid,parking_type,parking_on_vs_off_premises,ln_price,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,ln_review_scores_rating
Apt,Isolotto Legnaia,Paid,NA,On_premises,59,NA,4,1,1,88,34,0.29,3,2,3530,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,12460900,43986977000,3,59,73739,Isolotto Legnaia,Apt,Apartment,Paid,NA,On_premises,4.07753744390572,1.3862943611198906,1.9218120556728056,0.6931471805599453,3.5553480614894135,8.169053149927343,66.73342936633784,545.148931370536,4.477336814478207
Apt,Centro Storico,No_parking,No_parking,No_parking,50,90,2,1,1,96,803,6.8,1,1,3541,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,NA,12538681,44399469421,1,50,74682,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,3.912023005428146,0.6931471805599453,0.4804530139182014,0,6.6895992691789665,8.172164452111904,66.78427183236145,545.7720522286025,4.564348191467836
Apt,Centro Storico,Free,NA,Off_premises,69,100,4,2,2,99,486,5.03,2,3,2900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,2,2,8410000,24389000000,2,69,77570,Centro Storico,Apt,Apartment,Free,NA,Off_premises,4.23410650459726,1.3862943611198906,1.9218120556728056,1.0986122886681098,6.18826412308259,7.9724660159745655,63.560214375869364,506.7316490796765,4.59511985013459
Apt,Centro Storico,Paid,No_parking,Off_premises,160,100,4,1,1,80,3,0.04,3,1,2356,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,5550736,13077534016,3,160,80692,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,5.075173815233827,1.3862943611198906,1.9218120556728056,0,1.3862943611198906,7.764720544771477,60.29088513839627,468.1418744965628,4.382026634673881
Apt,Centro Storico,Paid,No_parking,Off_premises,166,100,6,2,1,89,11,0.17,3,4,1906,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,1,3632836,6924185416,3,166,80693,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,5.111987788356544,1.791759469228055,3.210401995568401,1.3862943611198906,2.4849066497880004,7.552762084214147,57.044215100742825,430.84138493664653,4.48863636973214
Apt,Centro Storico,Paid,No_parking,Off_premises,160,100,6,2,1,90,23,0.2,3,4,3514,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,1,12348196,43391560744,3,160,80694,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,5.075173815233827,1.791759469228055,3.210401995568401,1.3862943611198906,3.1780538303479458,8.164510268747042,66.6592279284759,544.2399509287911,4.499809670330265
Apt,Centro Storico,No_parking,No_parking,No_parking,140,50,6,2,2,92,5,0.05,5,6,3137,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,2,1,9840769,30870492353,3,140,81606,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.941642422609304,1.791759469228055,3.210401995568401,1.791759469228055,1.791759469228055,8.051022208190679,64.81895859677951,521.858875174464,4.5217885770490405
Apt,Centro Storico,No_parking,No_parking,No_parking,146,50,2,1,1,80,1,0.06,3,4,462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,213444,98611128,3,146,81897,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.983606621708336,0.6931471805599453,0.4804530139182014,1.3862943611198906,0.6931471805599453,6.135564891081739,37.64515653267487,230.97430074115627,4.382026634673881
Apt,Centro Storico,No_parking,No_parking,No_parking,146,50,2,1,1,100,4,0.08,3,4,1547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,2393209,3702294323,3,146,82478,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.983606621708336,0.6931471805599453,0.4804530139182014,1.3862943611198906,1.6094379124341003,7.344072850573066,53.9354060345244,396.1055511427853,4.605170185988092
Apt,Centro Storico,Paid,No_parking,Off_premises,110,50,4,2,1,NA,0,NA,3,4,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,0,NA,NA,3,110,82496,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,4.700480365792417,1.3862943611198906,1.9218120556728056,1.3862943611198906,0,NA,NA,NA,NA
