f_room_type,f_neighbourhood_cleansed,f_parking_free_vs_paid,f_parking_type,f_parking_on_vs_off_premises,euro_price_day,p_host_response_rate,n_accommodates,n_bedrooms,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_balcony,d_bathtub,d_bedlinens,d_breakfast,d_changingtable,d_cleaningproducts,d_complimentarybreakfastbuffet,d_conditioner,d_dedicatedworkspace,d_dedicatedworkspacetable,d_diningareafor12people,d_dryer,d_espressomachine,d_gasstove,d_hairdryer,d_hangers,d_hottub,d_inductionstove,d_ironingboard,d_laundromatnearby,d_luggagestorage,d_nespressomachine,d_piano,d_pool,d_portableairconditioning,d_roomdarkeningshades,d_samsungrefrigerator,d_sunloungers,d_valetparkingu2014u20ac30day,d_wifi,d_windowacunit,price,id,neighbourhood_cleansed,room_type,property_type,parking_free_vs_paid,parking_type,parking_on_vs_off_premises
Apt,Rifredi,Paid,NA,On_premises,80,NA,4,1,1,97,12,0.37,2,2,965,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,23654580,Rifredi,Entire home/apt,Apartment,Paid,NA,On_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,112,100,3,1,1,95,12,0.38,2,2,948,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,112,23657243,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,No_parking,No_parking,No_parking,28,70,2,1,1.5,85,23,0.71,1,2,974,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,23657831,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,Paid,NA,On_premises,101,NA,4,2,1.5,98,13,0.39,4,2,995,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,101,23658499,Centro Storico,Entire home/apt,Apartment,Paid,NA,On_premises
Apt,Gavinana Galluzzo,Paid,NA,On_premises,58,100,5,2,1,98,26,0.78,2,2,995,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,23663139,Gavinana Galluzzo,Entire home/apt,Apartment,Paid,NA,On_premises
Apt,Campo di Marte,Free,NA,Off_premises,85,NA,5,2,1.5,100,13,0.39,3,3,995,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,23666438,Campo di Marte,Entire home/apt,Apartment,Free,NA,Off_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,60,100,4,1,1.5,94,78,2.33,2,1,1004,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,23674260,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,Paid,No_parking,Off_premises,60,100,2,1,1,91,90,2.71,2,1,997,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,23681064,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Rifredi,Free,No_parking,On_premises,70,100,4,2,1,96,138,4.21,3,3,982,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,23681252,Rifredi,Entire home/apt,Apartment,Free,No_parking,On_premises
Apt,Centro Storico,Paid,No_parking,Off_premises,440,100,4,NA,1,92,38,1.22,2,1,932,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,440,23691300,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
