"f_room_type","f_neighbourhood_cleansed","f_parking_free_vs_paid","f_parking_type","f_parking_on_vs_off_premises","euro_price_day","n_accommodates","n_bedrooms","n_bathrooms","n_review_scores_rating","n_number_of_reviews","n_reviews_per_month","n_minimum_nights","n_beds","n_days_since","d_airconditioning","d_balcony","d_bathtub","d_bedlinens","d_breakfast","d_changingtable","d_cleaningproducts","d_complimentarybreakfastbuffet","d_conditioner","d_dedicatedworkspace","d_dedicatedworkspacetable","d_diningareafor12people","d_dryer","d_espressomachine","d_gasstove","d_hairdryer","d_hangers","d_hottub","d_inductionstove","d_ironingboard","d_laundromatnearby","d_luggagestorage","d_nespressomachine","d_piano","d_pool","d_portableairconditioning","d_roomdarkeningshades","d_samsungrefrigerator","d_sunloungers","d_valetparkingu2014u20ac30day","d_wifi","d_windowacunit","n_accommodates2","f_bathroom","f_number_of_reviews","n_days_since2","n_days_since3","f_minimum_nights","price","id","neighbourhood_cleansed","room_type","property_type","parking_free_vs_paid","parking_type","parking_on_vs_off_premises","ln_price","ln_accommodates","ln_accommodates2","ln_beds","ln_number_of_reviews","ln_days_since","ln_days_since2","ln_days_since3","ln_review_scores_rating","flag_days_since","flag_review_scores_rating","flag_reviews_per_month"
"Apt","Centro Storico","Paid","No_parking","Off_premises",70,4,1,1,93,86,1.53,2,2,1688,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,2849344,4809692672,2,70,73345,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",4.24849524204936,1.38629436111989,1.92181205567281,0.693147180559945,4.46590811865458,7.4312996751559,55.2242148619722,410.387689964514,4.53259949315326,0,0,0
"Apt","Isolotto Legnaia","Paid","Unknown","On_premises",59,4,1,1,88,34,0.29,3,2,3530,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,12460900,43986977000,3,59,73739,"Isolotto Legnaia","Apt","Apartment","Paid","Unknown","On_premises",4.07753744390572,1.38629436111989,1.92181205567281,0.693147180559945,3.55534806148941,8.16905314992734,66.7334293663378,545.148931370536,4.47733681447821,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",50,2,1,1,96,803,6.8,1,1,3541,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,12538681,44399469421,1,50,74682,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",3.91202300542815,0.693147180559945,0.480453013918201,0,6.68959926917897,8.1721644521119,66.7842718323615,545.772052228603,4.56434819146784,0,0,0
"Apt","Centro Storico","Free","Unknown","Off_premises",69,4,2,2,99,486,5.03,2,3,2900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,2,2,8410000,2.4389e+10,2,69,77570,"Centro Storico","Apt","Apartment","Free","Unknown","Off_premises",4.23410650459726,1.38629436111989,1.92181205567281,1.09861228866811,6.18826412308259,7.97246601597457,63.5602143758694,506.731649079677,4.59511985013459,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",160,4,1,1,80,3,0.04,3,1,2356,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,5550736,13077534016,3,160,80692,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",5.07517381523383,1.38629436111989,1.92181205567281,0,1.38629436111989,7.76472054477148,60.2908851383963,468.141874496563,4.38202663467388,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",166,6,2,1,89,11,0.17,3,4,1906,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,1,3632836,6924185416,3,166,80693,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",5.11198778835654,1.79175946922805,3.2104019955684,1.38629436111989,2.484906649788,7.55276208421415,57.0442151007428,430.841384936647,4.48863636973214,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",160,6,2,1,90,23,0.2,3,4,3514,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,1,12348196,43391560744,3,160,80694,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",5.07517381523383,1.79175946922805,3.2104019955684,1.38629436111989,3.17805383034795,8.16451026874704,66.6592279284759,544.239950928791,4.49980967033027,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",140,6,2,2,92,5,0.05,5,6,3137,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,2,1,9840769,30870492353,3,140,81606,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.9416424226093,1.79175946922805,3.2104019955684,1.79175946922805,1.79175946922805,8.05102220819068,64.8189585967795,521.858875174464,4.52178857704904,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",146,2,1,1,80,1,0.06,3,4,462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,213444,98611128,3,146,81897,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.98360662170834,0.693147180559945,0.480453013918201,1.38629436111989,0.693147180559945,6.13556489108174,37.6451565326749,230.974300741156,4.38202663467388,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",146,2,1,1,100,4,0.08,3,4,1547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,2393209,3702294323,3,146,82478,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.98360662170834,0.693147180559945,0.480453013918201,1.38629436111989,1.6094379124341,7.34407285057307,53.9354060345244,396.105551142785,4.60517018598809,0,0,0
